ep-3306 C#CCC(=C)C=O
ep-3307 C#CC(=CC)CC
ep-3309 C#CC(=CF)CC
ep-3310 C#CC(=C)CCC
ep-3312 C#CC(=C)CCF
ep-3313 C#CC(=C)CC=C
ep-3314 C#CC(=C)CC=O
ep-3315 C#CCC(=C)C#C
ep-3316 C=C(C#CC)CC
ep-3318 C=C(C#CF)CC
ep-3319 CCC(C)=C(C)C
ep-3321 CCC(C)=C(C)F
ep-3322 CC=C(C)CCC
ep-3324 CC=C(C)CCF
ep-3325 C=CCC(C)=CC
ep-3326 CC=C(C)CC=O
ep-3327 C#CCC(C)=CC
ep-3328 CCC=C(C)CC
ep-3330 CCC(C)=CCF
ep-3331 C=CC=C(C)CC
ep-3332 CCC(C)=CC=O
ep-3333 C#CC=C(C)CC
ep-3342 CCC(C)=COC
ep-3343 CCC(C)=C(F)F
ep-3344 CCCC(C)=CF
ep-3346 CC(=CF)CCF
ep-3347 C=CCC(C)=CF
ep-3348 CC(=CF)CC=O
ep-3349 C#CCC(C)=CF
ep-3350 C=C(C)CC(=C)C
ep-3351 C=C(C)CC(C)=O
ep-3352 C=C(C)CCCC
ep-3354 C=C(C)CCCF
ep-3355 C=CCCC(=C)C
ep-3356 C=C(C)CCC=O
ep-3357 C#CCCC(=C)C
ep-3362 C=C(C)CCOC
ep-3363 C=C(C)CC(F)F
ep-3364 C=C(C)CC(=C)F
ep-3365 C=C(C)CC(=O)F
ep-3366 C=C(C)CC=CC
ep-3368 C=C(C)CC=CF
ep-3369 C=C(C)CC#CC
ep-3371 C=C(C)CC#CF
ep-3392 C=C(C)C(F)OC
ep-3401 C=C(C)C(=C)OC
ep-3413 C=C(C)C(=O)OC
ep-3424 C=C(CF)COC
ep-3428 C=CC(=C)COC
ep-3435 C=C(C=O)COC
ep-3439 C#CC(=C)COC
ep-3446 CC=C(C)COC
ep-3458 COCC(C)=CF
ep-3459 C=C(C)COCC
ep-3461 C=C(C)COCF
ep-3462 C=COCC(=C)C
ep-3463 C=C(C)COC=O
ep-3464 C#COCC(=C)C
ep-3465 C=C(C)C(F)(F)F
ep-3466 C=C(CF)C(F)F
ep-3467 C=CC(=C)C(F)F
ep-3468 C=C(C=O)C(F)F
