ep-1883 FC1OCCO1
ep-1884 C=C1OCCO1
ep-1885 O=C1OCCO1
ep-1886 FC1=CCOC1
ep-1887 C1=CCOC=C1
ep-1888 C1#COCC=C1
ep-1889 C1=COCOC1
ep-1890 C1#CCOC=C1
ep-1891 C1#CCOC#C1
ep-1892 C1#COCOC1
ep-1893 Fc1ccoc1
ep-1894 Fc1c#coc1
ep-1895 c1ccccc1
ep-1896 c1ccccc#1
ep-1898 Fc1ccco1
ep-1899 c1c#cccc#1
ep-1901 Fc1cc#co1
ep-1902 CC=C1OCO1
ep-1903 c1c#cc#cc#1
ep-1906 COC1OCO1
ep-1913 FC1(F)OCO1
ep-1914 FC1OC=CO1
ep-1915 FC1OC#CO1
ep-1916 FC1OC(F)O1
ep-1917 C=C1OC(F)O1
ep-1918 O=C1OC(F)O1
ep-1919 C=C1OC=CO1
ep-1920 C=C1OC#CO1
ep-1923 FC=C1OCO1
ep-1924 C=c1oc(=C)o1
ep-1925 C=C1OC(=O)O1
ep-1926 O=c1occo1
ep-1927 O=c1oc#co1
ep-1928 O=C1OC(=O)O1
ep-1929 C1OCOCO1
ep-1930 FC1=COCO1
ep-1931 C1=COC=CO1
ep-1932 C1#COC=CO1
ep-1933 C1#COC#CO1
ep-1934 CC12CCC1C2
ep-1935 CC12COC1C2
ep-1937 CC12CC1CO2
ep-1938 CC12CCC1O2
ep-1940 CC12COC1O2
ep-1941 FC12CCC1C2
ep-1942 FC12COC1C2
ep-1943 CC1CC2CC12
ep-1944 C1CC1C1CC1
ep-1945 C1CC2CCC12
ep-1947 CC1OC2CC12
ep-1948 C1CC1C1CO1
ep-1949 C1CC2OCC12
ep-1950 CC1CC2OC12
ep-1951 FC1CC2CC12
ep-1952 C=C1CC2CC12
