ep-80700 CC=C(C#CCC)OC
ep-80703 C=CC#CC(=CC)OC
ep-80705 C#CC#CC(=CC)OC
ep-80706 CC#CC(=CCC)OC
ep-80708 C=CC=C(C#CC)OC
ep-80710 C#CC=C(C#CC)OC
ep-80719 CC#CC(=COC)OC
ep-80727 C=C(C#CC(C)C)OC
ep-80730 C=C(C)C#CC(=C)OC
ep-80732 C=C(C#CCCC)OC
ep-80735 C=CCC#CC(=C)OC
ep-80737 C#CCC#CC(=C)OC
ep-80745 C=C(C#CC=CC)OC
ep-80748 C=C(C#CC#CC)OC
ep-80751 CC=C(C#COC)OC
ep-80754 C=C(C#COCC)OC
ep-80757 C=COC#CC(=C)OC
ep-80759 C#COC#CC(=C)OC
ep-81658 C=CC(OC)=C(C)OC
ep-81676 CC=CC(C)=C(C)OC
ep-81678 CC=C(C)C=C(C)OC
ep-81679 COC(C)=CC=C(C)C
ep-81682 CC=CC=C(C)OCC
ep-81685 C=COC(C)=CC=CC
ep-81687 C#COC(C)=CC=CC
ep-81688 CC=CC=C(CC)OC
ep-81691 C=CC(=CC=CC)OC
ep-81693 C#CC(=CC=CC)OC
ep-81694 CCC=CC=C(C)OC
ep-81697 C=CC=CC=C(C)OC
ep-81699 C#CC=CC=C(C)OC
ep-81717 COC=CC=C(C)OC
ep-81734 C=CC(C)=C(C)OCC
ep-81736 C=C(C)C=C(C)OCC
ep-81737 C=CC=C(C)OC(C)C
ep-81740 C=CC=C(C)OC(=C)C
ep-81742 C=CC=C(CC)OCC
ep-81745 C=CC=C(C=C)OCC
ep-81747 C=CC=C(C)OCCC
ep-81750 C=CC=C(C)OCC=C
ep-81752 C#CCOC(C)=CC=C
ep-81771 C=CC(C)=C(CC)OC
ep-81773 C=C(C)C=C(CC)OC
ep-81774 C=CC=C(CC)OC=C
ep-81776 C#COC(=CC=C)CC
ep-81777 C=CC=C(OC)C(C)C
ep-81780 C=CC=C(OC)C(=C)C
ep-81782 C=CC=C(CCC)OC
ep-81785 C=CC=C(CC=C)OC
ep-81787 C#CCC(=CC=C)OC
ep-81811 C#CC(OC)=C(C)C=C
ep-81813 C#CC(=CC(=C)C)OC
ep-81814 C#CC(=CC=C)OC=C
ep-81816 C#COC(C#C)=CC=C
ep-81856 CC=CC=C(OC)OC
ep-81898 C=CC=C(OC)OCC
ep-81919 C=CC(C)=C(OC)OC
ep-81921 C=C(C)C=C(OC)OC
ep-81923 C=CC=C(OC)OC=C
ep-81925 C#COC(=CC=C)OC
ep-82022 CC=C(C)C(C)=COC
ep-82024 COC=C(C)C=C(C)C
ep-82027 CC=CC(C)=COCC
ep-82030 C=COC=C(C)C=CC
ep-82032 C#COC=C(C)C=CC
ep-82033 CC=CC(=COC)CC
ep-82036 C=CC(C=CC)=COC
ep-82038 C#CC(C=CC)=COC
ep-82039 CCC=CC(C)=COC
ep-82042 C=CC=CC(C)=COC
ep-82044 C#CC=CC(C)=COC
ep-82058 COC=CC(C)=COC
ep-82075 C=C(C)C(C)=COCC
