ep-15425 C#CCOCC(=C)C
ep-15426 C=C(CC)COCC
ep-15429 C=CC(=C)COCC
ep-15431 C#CC(=C)COCC
ep-15432 CC=C(C)COCC
ep-15447 CCCCOCCC
ep-15450 C=CCCOCCC
ep-15452 C#CCCOCCC
ep-15463 CCCOCCOC
ep-15473 C=CCOCCCC
ep-15476 C=CCCOCC=C
ep-15478 C#CCCOCC=C
ep-15479 CC=CCOCCC
ep-15488 C#CCOCCCC
ep-15491 C#CCOCCC=C
ep-15493 C#CCCOCC#C
ep-15494 CC#CCOCCC
ep-15497 CCOCCC(C)C
ep-15500 C=C(C)CCOCC
ep-15502 CCCCCOCC
ep-15505 C=CCCCOCC
ep-15507 C#CCCCOCC
ep-15512 CCOCCCOC
ep-15516 CC=CCCOCC
ep-15519 CC#CCCOCC
ep-15553 C=CCOCCOC
ep-15558 C#CCOCCOC
ep-15562 CCOCCOCC
ep-15565 C=COCCOCC
ep-15567 C#COCCOCC
ep-15590 C=CCOCC=CC
ep-15596 C#CCOCC=CC
ep-15599 C=CCOCC#CC
ep-15602 CCOCC=C(C)C
ep-15605 CCC=CCOCC
ep-15608 C=CC=CCOCC
ep-15610 C#CC=CCOCC
ep-15613 CCOCC=COC
ep-15618 C#CCOCC#CC
ep-15621 CCC#CCOCC
ep-15624 C=CC#CCOCC
ep-15626 C#CC#CCOCC
ep-15627 CCOCC#COC
ep-15673 CCOC(OC)OC
ep-15729 C=C(OC)OCCC
ep-15755 C=CCOC(=C)OC
ep-15766 C#CCOC(=C)OC
ep-15773 CC=C(OC)OCC
ep-15776 C=C(OCC)OCC
ep-15779 C=COC(=C)OCC
ep-15781 C#COC(=C)OCC
ep-15834 COCOCC(C)C
ep-15858 C=C(C)COCOC
ep-15875 CCCCOCOC
ep-15878 C=CCCOCOC
ep-15880 C#CCCOCOC
ep-15881 CCCOCOCC
ep-15884 C=COCOCCC
ep-15886 C#COCOCCC
ep-15923 COCCOCOC
ep-15948 CC=CCOCOC
ep-15951 C=CCOCOCC
ep-15954 C=CCOCOC=C
ep-15956 C#COCOCC=C
ep-15976 CC#CCOCOC
ep-15979 C#CCOCOCC
ep-15982 C#CCOCOC=C
ep-15984 C#CCOCOC#C
ep-15996 CCOCOCOC
ep-16000 CC=COCOCC
ep-16003 CC#COCOCC
ep-16216 C=COCC(C)(C)C
ep-16219 CC=COCC(C)C
ep-16222 C=COCC(C)CC
ep-16225 C=COCC(C)C=C
ep-16227 C#CC(C)COC=C
ep-16249 C=C(C)COC=CC
ep-16252 C=COCC(=C)CC
ep-16255 C=COCC(=C)C=C
ep-16257 C#CC(=C)COC=C
ep-16258 C=COCC(C)=CC
ep-16270 CCCOC=C(C)C
ep-16273 CC=COCCCC
ep-16276 C=CCCOC=CC
ep-16278 C#CCCOC=CC
ep-16279 CCC=COCCC
ep-16282 C=CC=COCCC
ep-16284 C#CC=COCCC
ep-16293 CCCOC=COC
ep-16301 C=COCCC(C)C
