ep-12364 C#CC(C#C)OC=O
ep-12365 CC#CC(C)OC=O
ep-12367 CC(C#CF)OC=O
ep-12368 C#COC(C)C(C)C
ep-12370 C#COC(C)C(C)F
ep-12371 C#COC(C)C(=C)C
ep-12372 C#COC(C)C(C)=O
ep-12373 C#COC(CC)CC
ep-12375 C#COC(CC)CF
ep-12376 C#COC(C=C)CC
ep-12377 C#COC(C=O)CC
ep-12378 C#COC(C#C)CC
ep-12379 CC#COC(C)CC
ep-12381 CCC(C)OC#CF
ep-12382 C#COC(C)CCC
ep-12384 C#COC(C)CCF
ep-12385 C#COC(C)CC=C
ep-12386 C#COC(C)CC=O
ep-12387 C#CCC(C)OC#C
ep-12400 C#COC(C)COC
ep-12401 C#COC(C)C(F)F
ep-12402 C#COC(C)C(=C)F
ep-12403 C#COC(C)C(=O)F
ep-12404 C#COC(CF)CF
ep-12405 C#COC(C=C)CF
ep-12406 C#COC(C=O)CF
ep-12407 C#COC(C#C)CF
ep-12408 CC#COC(C)CF
ep-12410 CC(CF)OC#CF
ep-12411 C#COC(C=C)C=C
ep-12412 C#COC(C=C)C=O
ep-12413 C#COC(C#C)C=C
ep-12414 C=CC(C)OC#CC
ep-12416 C=CC(C)OC#CF
ep-12417 C#COC(C)C=CC
ep-12419 C#COC(C)C=CF
ep-12420 C#COC(C=O)C=O
ep-12421 C#COC(C#C)C=O
ep-12422 CC#COC(C)C=O
ep-12424 CC(C=O)OC#CF
ep-12425 C#COC(C#C)C#C
ep-12426 C#CC(C)OC#CC
ep-12428 C#CC(C)OC#CF
ep-12429 C#COC(C)C#CC
ep-12431 C#COC(C)C#CF
ep-12432 CCC#COC(C)C
ep-12434 CC(C)OC#CCF
ep-12435 C=CC#COC(C)C
ep-12436 CC(C)OC#CC=O
ep-12437 C#CC#COC(C)C
ep-12438 COC#COC(C)C
ep-12439 COC(C)C(C)(C)C
ep-12441 COC(C)C(C)(C)F
ep-12442 CCC(OC)C(C)C
ep-12444 COC(CF)C(C)C
ep-12445 C=CC(OC)C(C)C
ep-12446 COC(C=O)C(C)C
ep-12447 C#CC(OC)C(C)C
ep-12448 CCC(C)C(C)OC
ep-12450 COC(C)C(C)CF
ep-12451 C=CC(C)C(C)OC
ep-12452 COC(C)C(C)C=O
ep-12453 C#CC(C)C(C)OC
ep-12468 COC(C)C(C)OC
ep-12469 COC(C)C(C)(F)F
ep-12470 CCC(OC)C(C)F
ep-12472 COC(CF)C(C)F
ep-12473 C=CC(OC)C(C)F
ep-12474 COC(C=O)C(C)F
ep-12475 C#CC(OC)C(C)F
ep-12476 CCC(F)C(C)OC
ep-12478 COC(C)C(F)CF
ep-12479 C=CC(F)C(C)OC
ep-12480 COC(C)C(F)C=O
ep-12481 C#CC(F)C(C)OC
ep-12482 C=C(C)C(CC)OC
ep-12484 C=C(C)C(CF)OC
ep-12485 C=CC(OC)C(=C)C
ep-12486 C=C(C)C(C=O)OC
ep-12487 C#CC(OC)C(=C)C
ep-12488 C=C(CC)C(C)OC
ep-12490 C=C(CF)C(C)OC
ep-12491 C=CC(=C)C(C)OC
ep-12492 C=C(C=O)C(C)OC
ep-12493 C#CC(=C)C(C)OC
ep-12494 CC=C(C)C(C)OC
ep-12496 COC(C)C(C)=CF
ep-12497 CCC(OC)C(C)=O
ep-12499 COC(CF)C(C)=O
ep-12500 C=CC(OC)C(C)=O
ep-12501 COC(C=O)C(C)=O
ep-12502 C#CC(OC)C(C)=O
ep-12503 CCC(=O)C(C)OC
ep-12505 COC(C)C(=O)CF
ep-12506 C=CC(=O)C(C)OC
ep-12507 COC(C)C(=O)C=O
ep-12508 C#CC(=O)C(C)OC
ep-12509 CCCC(CC)OC
ep-12511 CCC(CCF)OC
ep-12512 C=CCC(CC)OC
ep-12513 CCC(CC=O)OC
ep-12514 C#CCC(CC)OC
ep-12525 CCC(COC)OC
ep-12526 CCC(OC)C(F)F
ep-12527 C=C(F)C(CC)OC
ep-12528 CCC(OC)C(=O)F
ep-12529 CCCC(CF)OC
ep-12531 COC(CF)CCF
ep-12532 C=CCC(CF)OC
ep-12533 COC(CF)CC=O
ep-12534 C#CCC(CF)OC
ep-12535 C=CC(CCC)OC
ep-12537 C=CC(CCF)OC
ep-12538 C=CCC(C=C)OC
ep-12539 C=CC(CC=O)OC
ep-12540 C#CCC(C=C)OC
ep-12541 CC=CC(CC)OC
ep-12543 CCC(C=CF)OC
ep-12544 CCCC(C=O)OC
ep-12546 COC(C=O)CCF
ep-12547 C=CCC(C=O)OC
ep-12548 COC(C=O)CC=O
ep-12549 C#CCC(C=O)OC
ep-12550 C#CC(CCC)OC
ep-12552 C#CC(CCF)OC
ep-12553 C#CC(CC=C)OC
ep-12554 C#CC(CC=O)OC
ep-12555 C#CCC(C#C)OC
ep-12556 CC#CC(CC)OC
ep-12558 CCC(C#CF)OC
ep-12559 COC(C)CC(C)C
ep-12561 COC(C)CC(C)F
ep-12562 C=C(C)CC(C)OC
ep-12563 COC(C)CC(C)=O
ep-12564 CCCCC(C)OC
ep-12566 COC(C)CCCF
ep-12567 C=CCCC(C)OC
ep-12568 COC(C)CCC=O
ep-12569 C#CCCC(C)OC
ep-12574 COCCC(C)OC
ep-12575 COC(C)CC(F)F
ep-12576 C=C(F)CC(C)OC
ep-12577 COC(C)CC(=O)F
ep-12578 CC=CCC(C)OC
ep-12580 COC(C)CC=CF
ep-12581 CC#CCC(C)OC
ep-12583 COC(C)CC#CF
ep-12598 COC(C)C(F)OC
ep-12604 C=C(OC)C(C)OC
ep-12613 COC(=O)C(C)OC
ep-12618 COCC(CF)OC
ep-12619 C=CC(COC)OC
ep-12623 COCC(C=O)OC
ep-12624 C#CC(COC)OC
ep-12628 CCOCC(C)OC
ep-12630 COC(C)COCF
ep-12631 C=COCC(C)OC
ep-12632 COC(C)COC=O
ep-12633 C#COCC(C)OC
ep-12634 COC(C)C(F)(F)F
ep-12635 COC(CF)C(F)F
ep-12636 C=CC(OC)C(F)F
ep-12637 COC(C=O)C(F)F
ep-12638 C#CC(OC)C(F)F
ep-12639 C=C(F)C(CF)OC
ep-12640 C=CC(OC)C(=C)F
ep-12641 C=C(F)C(C=O)OC
ep-12642 C#CC(OC)C(=C)F
ep-12643 CC=C(F)C(C)OC
ep-12645 COC(C)C(F)=CF
ep-12646 COC(CF)C(=O)F
ep-12647 C=CC(OC)C(=O)F
ep-12648 COC(C=O)C(=O)F
ep-12649 C#CC(OC)C(=O)F
ep-12650 CC=CC(CF)OC
ep-12652 COC(C=CF)CF
ep-12653 CC#CC(CF)OC
ep-12655 COC(C#CF)CF
ep-12656 C=CC(C=CC)OC
ep-12658 C=CC(C=CF)OC
ep-12659 CC=CC(C=O)OC
ep-12661 COC(C=O)C=CF
ep-12662 C#CC(C=CC)OC
ep-12664 C#CC(C=CF)OC
ep-12665 C=CC(C#CC)OC
ep-12667 C=CC(C#CF)OC
ep-12668 COC(C)C=C(C)C
ep-12670 COC(C)C=C(C)F
ep-12671 CCC=CC(C)OC
ep-12673 COC(C)C=CCF
ep-12674 C=CC=CC(C)OC
ep-12675 COC(C)C=CC=O
ep-12676 C#CC=CC(C)OC
ep-12679 COC=CC(C)OC
ep-12680 COC(C)C=C(F)F
ep-12681 CC#CC(C=O)OC
ep-12683 COC(C#CF)C=O
ep-12684 C#CC(C#CC)OC
ep-12686 C#CC(C#CF)OC
ep-12687 CCC#CC(C)OC
ep-12689 COC(C)C#CCF
ep-12690 C=CC#CC(C)OC
ep-12691 COC(C)C#CC=O
ep-12692 C#CC#CC(C)OC
ep-12693 COC#CC(C)OC
ep-12788 COC(C)(OC)OC
ep-12799 CCOC(C)(F)OC
ep-12827 COC(C)(F)OCF
ep-12834 C=COC(C)(F)OC
ep-12844 COC(C)(F)OC=O
ep-12851 C#COC(C)(F)OC
ep-12860 CCC(F)(OC)OC
ep-12876 COC(F)(CF)OC
ep-12877 C=CC(F)(OC)OC
ep-12881 COC(F)(C=O)OC
ep-12882 C#CC(F)(OC)OC
ep-12900 COC(C)OC(C)F
ep-12913 C=C(C)OC(C)OC
ep-12929 COC(C)OC(C)=O
ep-12941 CCOC(CC)OC
ep-12969 CCOC(CF)OC
ep-12976 C=CC(OC)OCC
ep-12986 CCOC(C=O)OC
ep-12993 C#CC(OC)OCC
ep-13003 CCCOC(C)OC
ep-13005 COC(C)OCCF
ep-13006 C=CCOC(C)OC
ep-13007 COC(C)OCC=O
ep-13008 C#CCOC(C)OC
ep-13009 CCOC(C)OCC
ep-13011 CCOC(C)OCF
ep-13012 C=COC(C)OCC
ep-13013 CCOC(C)OC=O
ep-13014 C#COC(C)OCC
ep-13112 COCOC(C)OC
ep-13131 COC(C)OC(F)F
ep-13138 C=C(F)OC(C)OC
ep-13148 COC(C)OC(=O)F
ep-13154 CCC(OC)OCF
ep-13170 COC(CF)OCF
ep-13171 C=CC(OC)OCF
ep-13175 COC(C=O)OCF
ep-13176 C#CC(OC)OCF
ep-13180 CC(OCF)OCF
ep-13181 C=COC(C)OCF
ep-13182 CC(OC=O)OCF
ep-13183 C#COC(C)OCF
ep-13189 C=COC(CC)OC
ep-13211 C=COC(CF)OC
ep-13215 C=COC(C=C)OC
ep-13222 C=COC(C=O)OC
ep-13226 C#CC(OC)OC=C
ep-13233 CC=COC(C)OC
ep-13235 COC(C)OC=CF
ep-13236 C=COC(C)OC=C
ep-13237 C=COC(C)OC=O
ep-13238 C#COC(C)OC=C
ep-13257 CCC(OC)OC=O
ep-13272 COC(CF)OC=O
ep-13273 C=CC(OC)OC=O
ep-13277 COC(C=O)OC=O
ep-13278 C#CC(OC)OC=O
ep-13282 CC(OC=O)OC=O
ep-13283 C#COC(C)OC=O
ep-13289 C#COC(CC)OC
ep-13311 C#COC(CF)OC
ep-13315 C#COC(C=C)OC
ep-13322 C#COC(C=O)OC
ep-13326 C#COC(C#C)OC
ep-13333 CC#COC(C)OC
ep-13335 COC(C)OC#CF
ep-13336 C#COC(C)OC#C
ep-13347 COC(OC)C(C)C
ep-13364 COC(OC)C(C)F
ep-13371 C=C(C)C(OC)OC
ep-13381 COC(OC)C(C)=O
ep-13388 CCCC(OC)OC
ep-13390 COC(CCF)OC
ep-13391 C=CCC(OC)OC
ep-13392 COC(CC=O)OC
