ep-717202 FCOC(F)(F)C=C(F)CF
ep-717203 FCOC(F)(F)C=CC(F)F
ep-717204 COC(F)(F)C(F)=C(F)CF
ep-717205 COC(F)(F)C(F)=CC(F)F
ep-717206 COC(F)(F)C=C(F)C(F)F
ep-717207 COC(F)(F)C=CC(F)(F)F
ep-717208 CC=C(F)C(F)OC(F)(F)F
ep-717209 CC(F)=CC(F)OC(F)(F)F
ep-717210 FCC=CC(F)OC(F)(F)F
ep-717211 CC(F)=C(F)C(F)OC(F)F
ep-717212 FCC=C(F)C(F)OC(F)F
ep-717213 FCC(F)=CC(F)OC(F)F
ep-717214 FC(F)C=CC(F)OC(F)F
ep-717215 FCOC(F)C(F)=C(F)CF
ep-717216 FCOC(F)C(F)=CC(F)F
ep-717217 FCOC(F)C=C(F)C(F)F
ep-717218 FCOC(F)C=CC(F)(F)F
ep-717219 COC(F)C(F)=C(F)C(F)F
ep-717220 COC(F)C(F)=CC(F)(F)F
ep-717221 COC(F)C=C(F)C(F)(F)F
ep-717222 CC(F)=C(F)COC(F)(F)F
ep-717223 FCC=C(F)COC(F)(F)F
ep-717224 FCC(F)=CCOC(F)(F)F
ep-717225 FC(F)C=CCOC(F)(F)F
ep-717226 FCC(F)=C(F)COC(F)F
ep-717227 FC(=CC(F)F)COC(F)F
ep-717228 FC(=CCOC(F)F)C(F)F
ep-717229 FC(F)OCC=CC(F)(F)F
ep-717230 FCOCC(F)=C(F)C(F)F
ep-717231 FCOCC(F)=CC(F)(F)F
ep-717232 FCOCC=C(F)C(F)(F)F
ep-717233 COCC(F)=C(F)C(F)(F)F
ep-717242 CC(F)(C#CF)OC(F)(F)F
ep-717243 C#CC(F)(CF)OC(F)(F)F
ep-717244 FC#CC(F)(CF)OC(F)F
ep-717245 C#CC(F)(OC(F)F)C(F)F
ep-717246 FC#CC(F)(OCF)C(F)F
ep-717247 C#CC(F)(OCF)C(F)(F)F
ep-717248 COC(F)(C#CF)C(F)(F)F
ep-717249 FC#CC(CF)OC(F)(F)F
ep-717250 C#CC(OC(F)(F)F)C(F)F
ep-717251 FC#CC(OC(F)F)C(F)F
ep-717252 C#CC(OC(F)F)C(F)(F)F
ep-717253 FC#CC(OCF)C(F)(F)F
ep-717255 FC#CC(=CF)OC(F)(F)F
ep-717256 C#CC(OC(F)(F)F)=C(F)F
ep-717257 FC#CC(OC(F)F)=C(F)F
ep-717258 CC(F)(F)OC(F)(F)C#CF
ep-717259 C#CC(F)(F)OC(F)(F)CF
ep-717260 FC#CC(F)(F)OC(F)CF
ep-717261 C#CC(F)(F)OC(F)C(F)F
ep-717262 FC#CC(F)(F)OCC(F)F
ep-717263 C#CC(F)(F)OCC(F)(F)F
ep-717264 FC#CC(F)OC(F)(F)CF
ep-717265 C#CC(F)OC(F)(F)C(F)F
ep-717266 FC#CC(F)OC(F)C(F)F
ep-717267 C#CC(F)OC(F)C(F)(F)F
ep-717268 FC#CC(F)OCC(F)(F)F
ep-717269 FC#CCOC(F)(F)C(F)F
ep-717270 C#CCOC(F)(F)C(F)(F)F
ep-717271 FC#CCOC(F)C(F)(F)F
ep-717273 FC#CC(F)(F)OC(F)=CF
ep-717274 C#CC(F)(F)OC(F)=C(F)F
ep-717275 FC#CC(F)(F)OC=C(F)F
ep-717276 FC#CC(F)OC(F)=C(F)F
ep-717277 CC#CC(F)(F)OC(F)(F)F
ep-717278 FCC#CC(F)(F)OC(F)F
ep-717279 FCOC(F)(F)C#CC(F)F
ep-717280 COC(F)(F)C#CC(F)(F)F
ep-717281 FCC#CC(F)OC(F)(F)F
ep-717282 FC(F)C#CC(F)OC(F)F
ep-717283 FCOC(F)C#CC(F)(F)F
ep-717284 FC(F)C#CCOC(F)(F)F
ep-717285 FC(F)OCC#CC(F)(F)F
ep-717287 COC(C)(F)C(F)(F)C(F)F
ep-717288 COC(F)(CF)C(F)(F)CF
ep-717289 CC(F)(OCF)C(F)(F)CF
ep-717290 COC(F)(C(F)F)C(C)(F)F
ep-717291 CC(F)(F)C(F)(CF)OCF
ep-717292 CC(F)(F)C(C)(F)OC(F)F
ep-717293 COC(C)(F)C(F)C(F)(F)F
ep-717294 COC(F)(CF)C(F)C(F)F
ep-717295 CC(F)(OCF)C(F)C(F)F
ep-717296 COC(F)(C(F)F)C(F)CF
ep-717297 FCOC(F)(CF)C(F)CF
ep-717298 CC(F)(OC(F)F)C(F)CF
ep-717299 COC(F)(C(C)F)C(F)(F)F
ep-717300 CC(F)C(F)(OCF)C(F)F
ep-717301 CC(F)C(F)(CF)OC(F)F
ep-717302 CC(F)C(C)(F)OC(F)(F)F
ep-717303 COC(F)(CF)CC(F)(F)F
ep-717304 CC(F)(CC(F)(F)F)OCF
ep-717305 COC(F)(CC(F)F)C(F)F
ep-717306 FCOC(F)(CF)CC(F)F
ep-717307 CC(F)(CC(F)F)OC(F)F
ep-717308 COC(F)(CCF)C(F)(F)F
ep-717309 FCCC(F)(OCF)C(F)F
ep-717310 FCCC(F)(CF)OC(F)F
ep-717311 CC(F)(CCF)OC(F)(F)F
ep-717312 CCC(F)(OCF)C(F)(F)F
ep-717313 CCC(F)(OC(F)F)C(F)F
ep-717314 CCC(F)(CF)OC(F)(F)F
ep-717315 COC(C)C(F)(F)C(F)(F)F
ep-717316 COC(CF)C(F)(F)C(F)F
ep-717317 CC(OCF)C(F)(F)C(F)F
ep-717318 COC(C(F)F)C(F)(F)CF
ep-717319 FCOC(CF)C(F)(F)CF
ep-717320 CC(OC(F)F)C(F)(F)CF
ep-717321 COC(C(C)(F)F)C(F)(F)F
ep-717322 CC(F)(F)C(OCF)C(F)F
ep-717323 CC(F)(F)C(CF)OC(F)F
