ep-668097 COC(C(F)=CF)C(F)F
ep-668098 C=C(F)C(OC)C(F)(F)F
ep-668099 COC(C=C(F)F)C(F)F
ep-668100 COC(C=CF)C(F)(F)F
ep-668112 C=C(F)C(=C)OC(F)(F)F
ep-668113 C=C(C=CF)OC(F)(F)F
ep-668114 C=CC(=CF)OC(F)(F)F
ep-668115 C=C(OC(F)F)C(F)=CF
ep-668116 C=C(F)C(=CF)OC(F)F
ep-668117 C=C(C=C(F)F)OC(F)F
ep-668118 FC=CC(=CF)OC(F)F
ep-668119 C=CC(OC(F)F)=C(F)F
ep-668120 C=C(OCF)C(F)=C(F)F
ep-668121 FC=C(F)C(=CF)OCF
ep-668122 C=C(F)C(OCF)=C(F)F
ep-668123 FC=C(C=C(F)F)OCF
ep-668124 FC=CC(OCF)=C(F)F
ep-668125 COC(=CF)C(F)=C(F)F
ep-668126 COC(C(F)=CF)=C(F)F
ep-668127 COC(C=C(F)F)=C(F)F
ep-668128 C=CC(F)(F)OC(C)(F)F
ep-668129 C=C(F)C(F)(F)OC(C)F
ep-668130 CC(F)OC(F)(F)C=CF
ep-668131 C=CC(F)(F)OC(F)CF
ep-668132 CCOC(F)(F)C(F)=CF
ep-668133 C=C(F)C(F)(F)OCCF
ep-668134 CCOC(F)(F)C=C(F)F
ep-668135 FC=CC(F)(F)OCCF
ep-668136 C=CC(F)(F)OCC(F)F
ep-668137 C=C(F)C(F)OC(C)(F)F
ep-668138 CC(F)(F)OC(F)C=CF
ep-668139 C=CC(F)OC(F)(F)CF
ep-668140 CC(F)OC(F)C(F)=CF
ep-668141 C=C(F)C(F)OC(F)CF
ep-668142 CC(F)OC(F)C=C(F)F
ep-668143 FC=CC(F)OC(F)CF
ep-668144 C=CC(F)OC(F)C(F)F
ep-668145 CCOC(F)C(F)=C(F)F
ep-668146 FC=C(F)C(F)OCCF
ep-668147 C=C(F)C(F)OCC(F)F
ep-668148 FCCOC(F)C=C(F)F
ep-668149 FC=CC(F)OCC(F)F
ep-668150 C=CC(F)OCC(F)(F)F
ep-668151 CC(F)(F)OCC(F)=CF
ep-668152 C=C(F)COC(F)(F)CF
ep-668153 CC(F)(F)OCC=C(F)F
ep-668154 FC=CCOC(F)(F)CF
ep-668155 C=CCOC(F)(F)C(F)F
ep-668156 CC(F)OCC(F)=C(F)F
ep-668157 FC=C(F)COC(F)CF
ep-668158 C=C(F)COC(F)C(F)F
ep-668159 FCC(F)OCC=C(F)F
ep-668160 FC=CCOC(F)C(F)F
ep-668161 C=CCOC(F)C(F)(F)F
ep-668162 FCCOCC(F)=C(F)F
ep-668163 FC=C(F)COCC(F)F
ep-668164 C=C(F)COCC(F)(F)F
ep-668165 FC(F)=CCOCC(F)F
ep-668166 FC=CCOCC(F)(F)F
ep-668180 C=C(F)OC(F)(F)C(=C)F
ep-668181 C=C(F)OC(F)(F)C=CF
ep-668182 C=CC(F)(F)OC(F)=CF
ep-668183 C=COC(F)(F)C(F)=CF
ep-668184 C=C(F)C(F)(F)OC=CF
ep-668185 C=COC(F)(F)C=C(F)F
ep-668186 FC=COC(F)(F)C=CF
ep-668187 C=CC(F)(F)OC=C(F)F
ep-668188 C=C(F)OC(F)C(F)=CF
ep-668189 C=C(F)C(F)OC(F)=CF
ep-668190 C=C(F)OC(F)C=C(F)F
ep-668191 FC=CC(F)OC(F)=CF
ep-668192 C=CC(F)OC(F)=C(F)F
ep-668193 C=COC(F)C(F)=C(F)F
ep-668194 FC=COC(F)C(F)=CF
ep-668195 C=C(F)C(F)OC=C(F)F
ep-668196 FC=COC(F)C=C(F)F
ep-668197 FC=CC(F)OC=C(F)F
ep-668198 C=C(F)OCC(F)=C(F)F
ep-668199 FC=C(F)COC(F)=CF
ep-668200 C=C(F)COC(F)=C(F)F
ep-668201 FC=C(F)OCC=C(F)F
ep-668202 FC=CCOC(F)=C(F)F
ep-668203 FC=COCC(F)=C(F)F
ep-668204 FC=C(F)COC=C(F)F
ep-668205 FC(F)=CCOC=C(F)F
ep-668206 C#COC(F)(F)C(F)=CF
ep-668207 C=C(F)C(F)(F)OC#CF
ep-668208 C#COC(F)(F)C=C(F)F
ep-668209 FC#COC(F)(F)C=CF
ep-668210 C#COC(F)C(F)=C(F)F
ep-668211 FC#COC(F)C(F)=CF
ep-668212 FC#COC(F)C=C(F)F
ep-668213 FC#COCC(F)=C(F)F
ep-668214 C=C(C)C(F)(F)OC(F)F
ep-668215 CC(=CF)C(F)(F)OCF
ep-668216 C=C(CF)C(F)(F)OCF
ep-668217 COC(F)(F)C(C)=C(F)F
ep-668218 COC(F)(F)C(=CF)CF
ep-668219 C=C(C(F)F)C(F)(F)OC
ep-668220 C=C(C)C(F)OC(F)(F)F
ep-668221 CC(=CF)C(F)OC(F)F
ep-668222 C=C(CF)C(F)OC(F)F
ep-668223 CC(=C(F)F)C(F)OCF
ep-668224 FC=C(CF)C(F)OCF
ep-668225 C=C(C(F)F)C(F)OCF
ep-668226 COC(F)C(CF)=C(F)F
ep-668227 COC(F)C(=CF)C(F)F
ep-668228 C=C(C(F)OC)C(F)(F)F
ep-668229 CC(=CF)COC(F)(F)F
ep-668230 C=C(CF)COC(F)(F)F
ep-668231 CC(COC(F)F)=C(F)F
ep-668232 FC=C(CF)COC(F)F
ep-668233 C=C(COC(F)F)C(F)F
ep-668234 FCOCC(CF)=C(F)F
ep-668235 FC=C(COCF)C(F)F
ep-668236 C=C(COCF)C(F)(F)F
ep-668237 COCC(=C(F)F)C(F)F
ep-668238 COCC(=CF)C(F)(F)F
ep-668239 CC=CC(F)(F)OC(F)F
ep-668240 CC=C(F)C(F)(F)OCF
ep-668241 CC(F)=CC(F)(F)OCF
ep-668242 FCC=CC(F)(F)OCF
ep-668243 COC(F)(F)C(F)=C(C)F
ep-668244 COC(F)(F)C(F)=CCF
ep-668245 COC(F)(F)C=C(F)CF
ep-668246 COC(F)(F)C=CC(F)F
ep-668247 CC=CC(F)OC(F)(F)F
ep-668248 CC=C(F)C(F)OC(F)F
ep-668249 CC(F)=CC(F)OC(F)F
ep-668250 FCC=CC(F)OC(F)F
ep-668251 CC(F)=C(F)C(F)OCF
ep-668252 FCC=C(F)C(F)OCF
ep-668253 FCOC(F)C=C(F)CF
ep-668254 FCOC(F)C=CC(F)F
ep-668255 COC(F)C(F)=C(F)CF
ep-668256 COC(F)C(F)=CC(F)F
ep-668257 COC(F)C=C(F)C(F)F
ep-668258 COC(F)C=CC(F)(F)F
ep-668259 CC=C(F)COC(F)(F)F
ep-668260 CC(F)=CCOC(F)(F)F
ep-668261 FCC=CCOC(F)(F)F
ep-668262 CC(F)=C(F)COC(F)F
ep-668263 FCC=C(F)COC(F)F
ep-668264 FCC(F)=CCOC(F)F
ep-668265 FC(F)C=CCOC(F)F
ep-668266 FCOCC(F)=C(F)CF
ep-668267 FCOCC(F)=CC(F)F
ep-668268 FCOCC=C(F)C(F)F
ep-668269 FCOCC=CC(F)(F)F
ep-668270 COCC(F)=C(F)C(F)F
ep-668271 COCC(F)=CC(F)(F)F
ep-668272 COCC=C(F)C(F)(F)F
ep-668284 C#CC(C)(F)OC(F)(F)F
ep-668285 CC(F)(C#CF)OC(F)F
ep-668286 C#CC(F)(CF)OC(F)F
