ep-774659 FC#CC(F)OC(F)(F)C(F)F
ep-774660 C#CC(F)OC(F)(F)C(F)(F)F
ep-774661 FC#CC(F)OC(F)C(F)(F)F
ep-774662 FC#CCOC(F)(F)C(F)(F)F
ep-774663 FC#CC(F)(F)OC(F)=C(F)F
ep-774664 FCC#CC(F)(F)OC(F)(F)F
ep-774665 FC(F)C#CC(F)(F)OC(F)F
ep-774666 FCOC(F)(F)C#CC(F)(F)F
ep-774667 FC(F)C#CC(F)OC(F)(F)F
ep-774668 FC(F)OC(F)C#CC(F)(F)F
ep-774669 FC(F)(F)C#CCOC(F)(F)F
ep-774670 COC(C)(F)C(F)(F)C(F)(F)F
ep-774671 COC(F)(CF)C(F)(F)C(F)F
ep-774672 CC(F)(OCF)C(F)(F)C(F)F
ep-774673 COC(F)(C(F)F)C(F)(F)CF
ep-774674 FCOC(F)(CF)C(F)(F)CF
ep-774675 CC(F)(OC(F)F)C(F)(F)CF
ep-774676 COC(F)(C(C)(F)F)C(F)(F)F
ep-774677 CC(F)(F)C(F)(OCF)C(F)F
ep-774678 CC(F)(F)C(F)(CF)OC(F)F
ep-774679 CC(F)(F)C(C)(F)OC(F)(F)F
ep-774680 COC(F)(CF)C(F)C(F)(F)F
ep-774681 CC(F)(OCF)C(F)C(F)(F)F
ep-774682 COC(F)(C(F)F)C(F)C(F)F
ep-774683 FCOC(F)(CF)C(F)C(F)F
ep-774684 CC(F)(OC(F)F)C(F)C(F)F
ep-774685 COC(F)(C(F)CF)C(F)(F)F
ep-774686 FCOC(F)(C(F)F)C(F)CF
ep-774687 FCC(F)C(F)(CF)OC(F)F
ep-774688 CC(F)(OC(F)(F)F)C(F)CF
ep-774689 CC(F)C(F)(OCF)C(F)(F)F
ep-774690 CC(F)C(F)(OC(F)F)C(F)F
ep-774691 CC(F)C(F)(CF)OC(F)(F)F
ep-774692 COC(F)(CC(F)(F)F)C(F)F
ep-774693 FCOC(F)(CF)CC(F)(F)F
ep-774694 CC(F)(CC(F)(F)F)OC(F)F
ep-774695 COC(F)(CC(F)F)C(F)(F)F
ep-774696 FCOC(F)(CC(F)F)C(F)F
ep-774697 FCC(F)(CC(F)F)OC(F)F
ep-774698 CC(F)(CC(F)F)OC(F)(F)F
ep-774699 FCCC(F)(OCF)C(F)(F)F
ep-774700 FCCC(F)(OC(F)F)C(F)F
ep-774701 FCCC(F)(CF)OC(F)(F)F
ep-774702 CCC(F)(OC(F)F)C(F)(F)F
ep-774703 CCC(F)(OC(F)(F)F)C(F)F
ep-774704 COC(CF)C(F)(F)C(F)(F)F
ep-774705 CC(OCF)C(F)(F)C(F)(F)F
ep-774706 COC(C(F)F)C(F)(F)C(F)F
ep-774707 FCOC(CF)C(F)(F)C(F)F
ep-774708 CC(OC(F)F)C(F)(F)C(F)F
ep-774709 COC(C(F)(F)F)C(F)(F)CF
ep-774710 FCOC(C(F)F)C(F)(F)CF
ep-774711 FCC(OC(F)F)C(F)(F)CF
ep-774712 CC(OC(F)(F)F)C(F)(F)CF
ep-774713 CC(F)(F)C(OCF)C(F)(F)F
ep-774714 CC(F)(F)C(OC(F)F)C(F)F
ep-774715 CC(F)(F)C(CF)OC(F)(F)F
ep-774716 COC(C(F)F)C(F)C(F)(F)F
ep-774717 FCOC(CF)C(F)C(F)(F)F
ep-774718 CC(OC(F)F)C(F)C(F)(F)F
ep-774719 COC(C(F)C(F)F)C(F)(F)F
