ep-932289 FC(F)C(OC(F)C(F)(F)C(F)F)C(F)(F)F
ep-932290 FC(F)C(OC(F)C(F)C(F)(F)F)C(F)(F)F
ep-932291 FCC(OC(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-932292 FC(F)C(OC(F)C(F)(F)C(F)(F)F)C(F)F
ep-932293 FC(F)C(F)(F)COC(C(F)(F)F)C(F)(F)F
ep-932294 FC(COC(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-932295 FC(F)C(OCC(F)(F)C(F)(F)F)C(F)(F)F
ep-932300 C=C(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932301 FC=CC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932302 FC=C(F)C(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-932303 FC(F)=CC(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-932304 FCC(F)(OC(F)(F)C(F)=C(F)F)C(F)(F)F
ep-932305 FC(F)=C(F)C(F)(F)OC(F)(C(F)F)C(F)F
ep-932306 FC=C(F)C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932307 FC(F)=CC(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932308 FC(F)=C(F)C(F)OC(F)(C(F)F)C(F)(F)F
ep-932309 FC(F)=C(F)COC(F)(C(F)(F)F)C(F)(F)F
ep-932310 FC=C(F)C(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-932311 FC(F)=CC(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-932312 FC(F)=C(F)C(F)(F)OC(C(F)F)C(F)(F)F
ep-932313 FC(F)=C(F)C(F)OC(C(F)(F)F)C(F)(F)F
ep-932314 FC#CC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932322 FCOC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932323 FC(F)OC(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-932324 FCC(F)(OC(F)(F)OC(F)(F)F)C(F)(F)F
ep-932325 FC(F)C(F)(OC(F)(F)OC(F)(F)F)C(F)F
ep-932326 FC(F)OC(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932327 FC(OC(F)(F)F)OC(F)(C(F)F)C(F)(F)F
ep-932328 FC(F)(F)OCOC(F)(C(F)(F)F)C(F)(F)F
ep-932329 FC(F)OC(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-932330 FC(F)C(OC(F)(F)OC(F)(F)F)C(F)(F)F
ep-932331 FC(OC(C(F)(F)F)C(F)(F)F)OC(F)(F)F
ep-932332 FCC(OC(F)=C(F)F)(C(F)(F)F)C(F)(F)F
ep-932333 FC=C(F)OC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-932334 C=C(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-932335 FC(F)=C(F)OC(C(F)F)(C(F)F)C(F)(F)F
ep-932336 FC(F)=COC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-932337 FC=COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-932338 FCC(F)(F)C(F)(OC(F)=C(F)F)C(F)(F)F
ep-932339 FC=C(F)OC(F)(C(F)(F)F)C(F)(F)C(F)F
ep-932340 C=C(F)OC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932341 FC(F)=C(F)OC(F)(C(F)F)C(F)(F)C(F)F
ep-932342 FC=C(F)OC(F)(C(F)F)C(F)(F)C(F)(F)F
ep-932343 FCC(F)(OC(F)=C(F)F)C(F)(F)C(F)(F)F
ep-932344 FC(F)=C(F)OC(F)(C(F)C(F)F)C(F)(F)F
ep-932345 FC=C(F)OC(F)(C(F)C(F)(F)F)C(F)(F)F
ep-932346 FC(F)=C(F)OC(F)(C(F)F)C(F)C(F)(F)F
ep-932347 FC(F)=C(F)OC(F)(CC(F)(F)F)C(F)(F)F
ep-932348 FC(F)=COC(F)(C(F)(F)F)C(F)(F)C(F)F
ep-932349 FC=COC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932350 FC(F)=COC(F)(C(F)F)C(F)(F)C(F)(F)F
ep-932351 FC(F)=COC(F)(C(F)C(F)(F)F)C(F)(F)F
ep-932352 FC(F)=C(F)OC(C(F)(F)F)C(F)(F)C(F)F
ep-932353 FC=C(F)OC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932354 FC(F)=C(F)OC(C(F)F)C(F)(F)C(F)(F)F
ep-932355 FC(F)=C(F)OC(C(F)C(F)(F)F)C(F)(F)F
ep-932356 FC(F)=COC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932357 FC(F)=C(F)OC(F)(C(F)=C(F)F)C(F)(F)F
ep-932358 FCC(F)=C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932359 FC(=CC(F)F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932360 FC(OC(F)(C(F)F)C(F)(F)F)=C(F)C(F)F
ep-932361 FC(=CC(F)(F)F)OC(F)(C(F)F)C(F)(F)F
ep-932362 FCC(F)(OC(F)=C(F)C(F)(F)F)C(F)(F)F
ep-932363 FC(OC(F)(C(F)F)C(F)F)=C(F)C(F)(F)F
ep-932364 FC(=COC(F)(C(F)(F)F)C(F)(F)F)C(F)F
ep-932365 FC(F)(F)C=COC(F)(C(F)(F)F)C(F)(F)F
ep-932366 FC(=COC(F)(C(F)F)C(F)(F)F)C(F)(F)F
ep-932367 FC(OC(C(F)(F)F)C(F)(F)F)=C(F)C(F)F
ep-932368 FC(=CC(F)(F)F)OC(C(F)(F)F)C(F)(F)F
ep-932369 FC(OC(C(F)F)C(F)(F)F)=C(F)C(F)(F)F
ep-932370 FC(=COC(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-932371 FC#COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-932372 FC#COC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932373 FC(F)(F)C#COC(F)(C(F)(F)F)C(F)(F)F
ep-932379 FCOC(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932380 FC(F)OC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-932381 FCC(F)(F)OC(F)(OC(F)(F)F)C(F)(F)F
ep-932382 FC(F)OC(F)(OC(F)(F)C(F)(F)F)C(F)F
