ep-936228 CC(F)(OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
ep-936229 FCC(F)(OC(F)(F)F)C(F)(F)C(F)(F)C(F)F
ep-936230 FCC(F)(F)C(F)(F)C(F)(OC(F)(F)F)C(F)F
ep-936231 CC(F)(F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-936232 FCC(F)(OC(F)(F)F)C(F)(F)C(F)C(F)(F)F
ep-936233 FC(F)C(F)C(F)(F)C(F)(OC(F)(F)F)C(F)F
ep-936234 FCC(F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-936235 FC(F)C(F)(OC(F)(F)F)C(F)(F)CC(F)(F)F
ep-936236 FC(F)CC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-936237 FCC(F)(OC(F)(F)F)C(F)C(F)(F)C(F)(F)F
ep-936238 FC(F)C(F)(F)C(F)C(F)(OC(F)(F)F)C(F)F
ep-936239 FCC(F)(F)C(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-936240 FC(C(F)C(F)(OC(F)(F)F)C(F)F)C(F)(F)F
ep-936241 FC(F)C(F)C(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-936242 FC(CC(F)(F)F)C(F)(OC(F)(F)F)C(F)(F)F
ep-936243 FC(F)C(F)(CC(F)(F)C(F)(F)F)OC(F)(F)F
ep-936244 FC(F)C(F)(F)CC(F)(OC(F)(F)F)C(F)(F)F
ep-936245 FC(CC(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)F
ep-936246 FCC(F)(OC(F)F)C(F)(F)C(F)(F)C(F)(F)F
