ep-937530 FC(F)=C(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)F
ep-937531 FCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-937532 FC(F)C(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-937533 FC(F)(F)CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-937534 FC(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)F
ep-937535 FC(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)F
ep-937536 FC(C(F)(F)F)C(F)(F)OC(F)(F)C(F)C(F)(F)F
ep-937537 FC(F)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-937538 FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)C(F)(F)F
ep-937539 FC(OC(F)(F)C(F)(F)C(F)F)C(F)(F)C(F)(F)F
ep-937540 FC(C(F)(F)F)C(F)(F)OC(F)C(F)(F)C(F)(F)F
ep-937541 FC(F)(F)C(F)(F)COC(F)(F)C(F)(F)C(F)(F)F
ep-937542 FC(OC(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-937543 FC(F)=C(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-937544 FCOC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-937545 FC(F)OC(F)(C(F)(F)C(F)F)C(F)(F)C(F)(F)F
ep-937546 FCC(F)(F)C(F)(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-937547 FC(F)OC(F)(C(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-937548 FC(F)C(F)C(F)(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-937549 FC(F)(F)CC(F)(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-937550 FC(F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)C(F)F
ep-937551 FC(F)C(F)(F)C(F)(OC(F)(F)F)C(F)C(F)(F)F
ep-937552 FC(C(F)(F)F)C(F)(OC(F)(F)F)C(F)C(F)(F)F
ep-937553 FC(F)OC(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-937554 FC(F)C(F)(F)C(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-937555 FC(C(OC(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-937570 FC(F)=C(F)C(F)(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-937571 FC(F)(F)OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-937572 FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
ep-937573 FC(F)=C(F)C(OC(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937574 FC(F)=C(C(F)(F)F)C(F)(OC(F)(F)F)C(F)(F)F
ep-937575 FC(=C(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937607 FCC(OC(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-937608 FC(F)OC(C(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-937609 FCOC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-937610 FC(F)C(OC(F)(F)F)(C(F)F)C(F)(F)C(F)(F)F
ep-937611 FC(F)C(F)(F)C(OC(F)(F)F)(C(F)F)C(F)(F)F
ep-937612 FC(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)F
ep-937613 FCC(F)(F)C(OC(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937614 FC(F)C(OC(F)(F)F)(C(F)C(F)(F)F)C(F)(F)F
ep-937615 FC(F)OC(C(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937616 FC(F)C(F)C(OC(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937617 FC(F)(F)CC(OC(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937625 FC(=C(F)C(F)(F)OC(F)(F)C(F)(F)F)C(F)(F)F
ep-937626 FC(F)(F)C(F)(F)C1(F)OC1(F)C(F)(F)C(F)(F)F
ep-937627 FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C1(F)F
ep-937628 FC(F)(F)C(F)(F)C1(F)OC(F)(F)C1(F)C(F)(F)F
ep-937629 FC(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F
ep-937630 FC(F)(F)C1(F)C(F)(F)OC(F)(F)C1(F)C(F)(F)F
ep-937631 FC(F)(F)C1(F)C(F)(F)OC(F)(F)C(F)(F)C1(F)F
ep-937632 FC1(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
ep-937633 FC(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)C1(F)F
ep-937634 FC(F)(F)C(F)(F)OC1(C(F)(F)F)C(F)(F)C1(F)F
ep-937635 FC(F)(F)C1(C(F)(F)F)OC(F)(F)C(F)(F)C1(F)F
