ep-874633 FC(F)(F)COCC(F)(F)C(F)(F)F
ep-874638 C=C(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-874639 FC=C(F)OC(F)(F)C(F)(F)C(F)F
ep-874640 FCC(F)(F)C(F)(F)OC(F)=C(F)F
ep-874641 FC=C(F)OC(F)(F)C(F)C(F)(F)F
ep-874642 FC(F)=C(F)OC(F)(F)C(F)C(F)F
ep-874643 FC(F)=C(F)OC(F)(F)CC(F)(F)F
ep-874644 FC=COC(F)(F)C(F)(F)C(F)(F)F
ep-874645 FC(F)=COC(F)(F)C(F)(F)C(F)F
ep-874646 FC(F)=COC(F)(F)C(F)C(F)(F)F
ep-874647 FC=C(F)OC(F)C(F)(F)C(F)(F)F
ep-874648 FC(F)=C(F)OC(F)C(F)(F)C(F)F
ep-874649 FC(F)=C(F)OC(F)C(F)C(F)(F)F
ep-874650 FC(F)=COC(F)C(F)(F)C(F)(F)F
ep-874651 FC(F)=C(F)OCC(F)(F)C(F)(F)F
ep-874652 CC(F)(C(F)F)C(F)(F)OC(F)(F)F
ep-874653 FCC(F)(CF)C(F)(F)OC(F)(F)F
ep-874654 CC(C(F)(F)F)C(F)(F)OC(F)(F)F
ep-874655 FCC(C(F)F)C(F)(F)OC(F)(F)F
ep-874656 CC(F)(C(F)(F)F)C(F)(F)OC(F)F
ep-874657 FCC(F)(C(F)F)C(F)(F)OC(F)F
ep-874658 FCC(C(F)(F)F)C(F)(F)OC(F)F
ep-874659 FC(F)OC(F)(F)C(C(F)F)C(F)F
ep-874660 FCOC(F)(F)C(F)(CF)C(F)(F)F
ep-874661 FCOC(F)(F)C(F)(C(F)F)C(F)F
ep-874662 FCOC(F)(F)C(C(F)F)C(F)(F)F
ep-874663 COC(F)(F)C(F)(C(F)F)C(F)(F)F
ep-874664 COC(F)(F)C(C(F)(F)F)C(F)(F)F
ep-874665 CC(F)(C(F)OC(F)(F)F)C(F)(F)F
ep-874666 FCC(F)(C(F)F)C(F)OC(F)(F)F
ep-874667 FCC(C(F)OC(F)(F)F)C(F)(F)F
ep-874668 FC(F)C(C(F)F)C(F)OC(F)(F)F
ep-874669 FCC(F)(C(F)OC(F)F)C(F)(F)F
ep-874670 FC(F)OC(F)C(F)(C(F)F)C(F)F
ep-874671 FC(F)OC(F)C(C(F)F)C(F)(F)F
ep-874672 FCOC(F)C(F)(C(F)F)C(F)(F)F
ep-874673 FCOC(F)C(C(F)(F)F)C(F)(F)F
ep-874674 COC(F)C(F)(C(F)(F)F)C(F)(F)F
ep-874675 FCC(F)(COC(F)(F)F)C(F)(F)F
ep-874676 FC(F)C(F)(COC(F)(F)F)C(F)F
ep-874677 FC(F)C(COC(F)(F)F)C(F)(F)F
ep-874678 FC(F)OCC(F)(C(F)F)C(F)(F)F
ep-874679 FC(F)OCC(C(F)(F)F)C(F)(F)F
ep-874680 FCOCC(F)(C(F)(F)F)C(F)(F)F
ep-874681 CC(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-874682 FCCC(F)(F)C(F)(F)OC(F)(F)F
ep-874683 CC(F)(F)C(F)C(F)(F)OC(F)(F)F
ep-874684 FCC(F)C(F)C(F)(F)OC(F)(F)F
ep-874685 FC(F)CC(F)C(F)(F)OC(F)(F)F
ep-874686 FCC(F)(F)CC(F)(F)OC(F)(F)F
ep-874687 FC(F)C(F)CC(F)(F)OC(F)(F)F
ep-874688 FC(F)(F)CCC(F)(F)OC(F)(F)F
ep-874689 CC(F)(F)C(F)(F)C(F)(F)OC(F)F
ep-874690 FCC(F)C(F)(F)C(F)(F)OC(F)F
ep-874691 FC(F)CC(F)(F)C(F)(F)OC(F)F
ep-874692 FCC(F)(F)C(F)C(F)(F)OC(F)F
ep-874693 FC(F)OC(F)(F)C(F)C(F)C(F)F
ep-874694 FC(F)OC(F)(F)C(F)CC(F)(F)F
ep-874695 FC(F)OC(F)(F)CC(F)(F)C(F)F
ep-874696 FC(F)OC(F)(F)CC(F)C(F)(F)F
ep-874697 FCOC(F)(F)C(F)(F)C(F)(F)CF
ep-874698 FCOC(F)(F)C(F)(F)C(F)C(F)F
ep-874699 FCOC(F)(F)C(F)(F)CC(F)(F)F
ep-874700 FCOC(F)(F)C(F)C(F)(F)C(F)F
ep-874701 FCOC(F)(F)C(F)C(F)C(F)(F)F
ep-874702 FCOC(F)(F)CC(F)(F)C(F)(F)F
ep-874703 COC(F)(F)C(F)(F)C(F)(F)C(F)F
ep-874704 COC(F)(F)C(F)(F)C(F)C(F)(F)F
ep-874705 COC(F)(F)C(F)C(F)(F)C(F)(F)F
ep-874706 CC(F)(F)C(F)(F)C(F)OC(F)(F)F
ep-874707 FCC(F)C(F)(F)C(F)OC(F)(F)F
ep-874708 FC(F)CC(F)(F)C(F)OC(F)(F)F
ep-874709 FCC(F)(F)C(F)C(F)OC(F)(F)F
ep-874710 FC(F)C(F)C(F)C(F)OC(F)(F)F
ep-874711 FC(CC(F)(F)F)C(F)OC(F)(F)F
ep-874712 FC(CC(F)(F)C(F)F)OC(F)(F)F
ep-874713 FC(CC(F)C(F)(F)F)OC(F)(F)F
ep-874714 FCC(F)(F)C(F)(F)C(F)OC(F)F
ep-874715 FC(F)OC(F)C(F)(F)C(F)C(F)F
ep-874716 FC(F)OC(F)C(F)(F)CC(F)(F)F
ep-874717 FC(F)OC(F)C(F)C(F)(F)C(F)F
ep-874718 FC(F)OC(F)C(F)C(F)C(F)(F)F
ep-874719 FC(F)OC(F)CC(F)(F)C(F)(F)F
ep-874720 FCOC(F)C(F)(F)C(F)(F)C(F)F
ep-874721 FCOC(F)C(F)(F)C(F)C(F)(F)F
ep-874722 FCOC(F)C(F)C(F)(F)C(F)(F)F
ep-874723 COC(F)C(F)(F)C(F)(F)C(F)(F)F
ep-874724 FCC(F)(F)C(F)(F)COC(F)(F)F
ep-874725 FC(F)C(F)C(F)(F)COC(F)(F)F
ep-874726 FC(F)(F)CC(F)(F)COC(F)(F)F
ep-874727 FC(F)C(F)(F)C(F)COC(F)(F)F
