ep-438514 C1#CC2OC3C(=C1)CC23
ep-438515 C1=C2CCC3OC2C3=C1
ep-438808 C1=C2COC3C(=C1)OC23
ep-439020 C1=CC23CCC2C(=C1)O3
ep-439200 CC12OC3C=CC1CC32
ep-439235 CC12OC3C=CC1OC32
ep-439270 C1=CC2C3COC1C2O3
ep-439712 C1=C2C=C3OC1C3CO2
ep-440119 C1=C2OC3C(=C1)OCC23
ep-441748 C1=C2C=C3OC1C3=CC2
ep-441794 C1=C2OC3=CC1OC=C23
ep-442411 C1CC23COCC1(C2)C3
ep-442723 C1#CC23COCC1(C2)C3
ep-587616 CC1C2OCOC13CC23
ep-587617 C1OC2COC3C1CC23
ep-587711 C1CC2CC3C1COC23
ep-443565 C1CC2CC3(C1)COC23
ep-443846 C1=C2OC3OC1OC=C23
ep-443859 CC1=CC23OC(=C1)C2O3
ep-444065 c1c2c3cc(c1o3)CO2
ep-448075 c1c2c3oc1cc3OC2
ep-444222 C1#CC2OC3=C1C#CC32
ep-444249 C1#CC2OC3=C1CCC32
ep-444258 C1#CC2CC3C(=C1)OC23
ep-444260 C1#CC23CCC2C(=C1)O3
ep-444270 C1#CCC23CC2C(=C1)O3
ep-444314 C1CC2OC3=C1OCC32
ep-588088 C1#CC23CC2C(=CC1)O3
ep-444852 CC12C=C3CC(C3)(O1)O2
ep-445402 C1CC2OC3(C1)COC23
ep-445423 C1#CC2C3COC2C3O1
ep-445622 CC1C=C2OC3(C1)CC23
ep-588738 C1CC2C3CC1OC2O3
ep-446196 C1#CC2C3CCC1C2O3
ep-446982 C1OC2C3COCC2C13
ep-447076 C1#CC2C3=CC1OC2C3
ep-447153 C1#CC2CC3(COC23)O1
ep-447568 C1#CC23OC(=CC1)C2O3
ep-589276 C1=C2OC3=CC1CC=C23
ep-448277 CC12OCOC3(OC13)O2
ep-448321 C1#CC2OC3(COC23)O1
ep-589541 CC12CC3(OCO1)OC23
ep-449764 C1#CC23COC2C(O1)O3
ep-589669 CC12OC13OCOC2O3
ep-450851 C1#CC2CC3C1COC23
ep-450882 C1#CC2C3OCOC2C13
ep-450914 C1#CC2OC3C1CCC23
ep-452342 C1#CC23CCC(O1)(O2)O3
ep-452349 C1#CC23CC(CO2)(O1)O3
ep-590829 C1#CC2OC3(C#C1)OC23
ep-452356 C1#CC23CC1(CCO2)O3
ep-590831 C1#CC23OC(CO1)C2O3
ep-452364 C1#CC23COCC1(O2)O3
ep-452373 C1#CC23CC1(OCO2)O3
ep-452375 C1#CC23OCCC1(O2)O3
ep-590840 C1#CC2OC3(CO1)OC23
ep-590843 C1#CC2OC3(C#C1)CC23
ep-452460 C1#CC23COCC1(C2)O3
ep-452499 CC12CC3CC(C3)(O1)O2
ep-453429 C1CC23COC(C1)(O2)O3
ep-453762 CC12CC3(CC(C3)O1)O2
ep-454240 CC12CC3CC(O3)(O1)O2
ep-454371 CC12CC3OC(C1)(O3)O2
ep-454417 C1CC23OCC(O1)(O2)O3
ep-454469 CC12OCOC3(CC13)O2
ep-454479 CC12CC3OC(O3)(O1)O2
ep-454520 CC1C2OC3OC1(O3)O2
ep-591284 C1#COC23OC(C1)C2O3
ep-454736 C1CC23COCC1(C2)O3
ep-454754 C1CC23COCC1(O2)O3
ep-454849 C1#CC23OCOC1(O2)O3
ep-454920 C1#CC23CC4C1C(O2)C43
ep-591345 C1C2CC3C4C1OC34C2
ep-455059 C1C2OCC34CC3C2C14
ep-591347 C1C2CC34OC(O2)C3C14
ep-455551 C1#CC23CC4C2C4(C3)O1
ep-455556 C1#CC23CC4(CC2C43)O1
ep-455560 C1#CC23C4CC2C3C4O1
ep-455608 C1#CC23OC4=C1CC2C43
ep-455628 C1C2CC2C23CC1C2O3
ep-455640 C1#CC23OC2C2C1CC23
ep-456309 C1C2=C3C4OC1C2OC34
ep-591534 C1#CC23OC4=C1C=C2C43
ep-591542 C1C2=C3OC4(CO2)C1C34
ep-456393 C1#CC23OC4=C1OC2C43
ep-456772 C1=C2C3CC14OC2(O3)O4
ep-457654 C1C2OC2=C2OC13OC23
ep-592022 C1=C2C=C3OC4(O2)C1C34
ep-457961 C1#CC2CC34CC23OC14
ep-457963 C1#CC2CC3C4C1OC234
ep-592144 C1#CC2CC34OC23CC14
ep-458013 C1#CC23CC4(O1)OC2C43
ep-458014 C1#CC23OC4C1C(O2)C43
ep-458036 C1#CC2CC34OC23OC14
ep-458374 C1C2=C3C4CC2C1OC34
ep-458375 C1C2=C3C4CC1C2OC34
ep-458419 C1=C2C=C3CC4(O2)C1C34
ep-458837 C1=C2C=C3OC14C(O2)C34
ep-458984 C1C2OC2=C2OC13CC23
ep-459224 C1=C2C=C3CC14C(O2)C34
ep-459675 C1=CC23C4OC2C3C4=C1
ep-592369 C1#CC23C4OC2C3C4=C1
ep-459783 C1#CC23C4OC2C3C4O1
ep-459895 C1C2C3=C4OC4OC12O3
ep-460141 C1=C2C3CC2C2C1C2O3
ep-460145 C1=C2C3CC4C1C4C2O3
ep-592425 C1=C2C3C=C4C1C4C2O3
ep-460346 C1C2=C3OC3OC13CC23
ep-461043 C1=C2C3CC14OC2(C3)O4
