EP ID,CAS ID,Smiles,Binding energy (eV),Formation energy in solvent (eV/atom),Formation energy in vaccum (eV/atom),LUMO_sol (eV),HOMO_sol (eV),LUMO_cls (eV),HOMO_cls (eV),LUMO change (eV),HOMO change (eV),Dielectric constant of solvents,Dielectric constant of electrolytes,Viscosity of solvents (mPa s),Viscosity of electrolytes (mPa s),Diffusivity of Li (m^2/s),Diffusivity of FSI (m^2/s),Diffusivity of solvens (m^2/s),Transference number of Li,Similarity of solvents
ep-134285,92097-00-2,CCC(C)OCC(C)C,-0.94479544,-0.064724173,-0.051151238,8.31089968,-7.571566485,6.405558852,-9.172139857,-1.905340828,-1.600573372,12.3822,9.9924,0.55469658,0.98518967,2.02e-10,2.05e-10,1e-09,0.496702452,
ep-134273,6863-58-7,CCC(C)OC(C)CC,-1.04134958,-0.066094518,-0.053208519,8.420561541,-7.494286166,6.257528945,-9.318537081,-2.163032596,-1.824250915,7.0613,8.5271,0.47645955,1.18513949,1.18e-10,1.09e-10,1e-09,0.521136226,
ep-134280,1000-63-1,CCCCOC(C)(C)C,-1.077978819,-0.061001455,-0.047713534,8.000962061,-7.51605527,5.464045104,-9.590922995,-2.536916957,-2.074867725,5.2342,11.4694,0.67436276,2.00918928,1.35e-10,1.42e-10,8.7e-10,0.486442965,
ep-115816,203799-93-3,CCCC(C)(C)OCC,-1.026647271,-0.056872078,-0.044684403,7.974839137,-7.459999827,5.685545737,-9.376769434,-2.289293399,-1.916769607,6.6055,9.0662,0.67165362,1.99765804,1.32e-10,1.37e-10,8.8e-10,0.491008715,
ep-134288,999-65-5,CCCCOC(C)CC,-0.957878672,-0.062341061,-0.048022534,8.418384631,-7.60775762,6.436579825,-9.274726759,-1.981804805,-1.666969139,10.3661,13.5549,0.60065045,1.07010874,1.53e-10,1.59e-10,1e-09,0.490418066,
ep-156510,52204-64-5,COC1CCCC(C)C1,-0.993716059,-0.03313169,-0.01938461,8.340832198,-7.67143225,6.081199202,-9.658679331,-2.259632995,-1.987247081,6.2403,13.8488,0.70591336,1.50161857,1.16e-10,1.14e-10,8.58e-10,0.503316423,
ep-134416,142-96-1,CCCCOCCCC,-0.975383753,-0.059351942,-0.045154454,8.543012751,-7.691296557,6.398211779,-9.627930472,-2.144800972,-1.936633915,6.4507,8.9479,0.38833099,0.7872919,1.66e-10,1.61e-10,2e-09,0.507188511,
ep-125400,18641-82-2,CCCCCOCCC,-0.965867933,-0.05785068,-0.043616205,8.497569746,-7.653472739,6.376170562,-9.566704867,-2.121399185,-1.913232128,6.7861,6.897,0.3772799,1.22823752,1.1e-10,9.9e-11,1e-09,0.525602094,
ep-134270,32970-45-9,CCC(C)OC(C)(C)C,-1.076982882,-0.0684866,-0.055890251,8.244231799,-7.449931616,5.910311736,-9.307108301,-2.333920063,-1.857176685,6.4189,6.5428,0.50285611,1.41203875,1.23e-10,1.26e-10,1e-09,0.494216173,
ep-115858,89045-03-4,COC(C)(C)CC(C)C,-1.212003029,-0.056320997,-0.045365796,7.934022067,-7.555239657,5.179686183,-9.848886877,-2.754335884,-2.29364722,3.983,9.1951,0.5688693,1.29942799,1.09e-10,1.11e-10,1e-09,0.496294562,
ep-133725,57999-64-1,CCOC(C)(OC)OC,-1.506370295,-0.365624774,-0.349875537,8.080691405,-8.007220679,5.795207599,-10.17515132,-2.285483806,-2.167930645,4.0088,9.7482,0.70523435,1.70339091,1.76e-10,1.75e-10,6.99e-10,0.501327126,
ep-125232,17071-48-6,CCCOCCC(C)C,-1.139479259,-0.05916116,-0.046676377,8.560700148,-7.686126395,6.164738139,-9.853784926,-2.395962009,-2.167658531,4.4329,4.4314,0.51919064,0.65618805,1.41e-10,1.42e-10,2e-09,0.498764268,
ep-125395,5756-37-6,CCCCCOC(C)C,-0.939617115,-0.059259423,-0.044800102,8.340560084,-7.562314616,6.442838443,-9.14084677,-1.897721641,-1.578532154,13.5005,14.5789,0.34343851,0.98788239,1.12e-10,1.19e-10,1e-09,0.484615709,
ep-115863,89045-00-1,CCCCC(C)(C)OC,-1.139694229,-0.057953277,-0.046211062,7.949532553,-7.573743395,5.173699679,-9.905214434,-2.775832874,-2.331471038,3.9368,4.4319,0.51527326,0.75364536,1.89e-10,1.89e-10,2e-09,0.499964461,
